"FIPS","date_partial_school_closed","date_all_school_closed","earliest_date_school_closed"
17173,"NA","2020-03-16",2020-03-16
17175,"NA","2020-03-17",2020-03-17
17177,"NA","2020-03-17",2020-03-17
17179,"NA","2020-03-17",2020-03-17
17181,"NA","NA",NA
17183,"NA","2020-03-16",2020-03-16
17185,"NA","2020-03-16",2020-03-16
17187,"NA","2020-03-17",2020-03-17
17189,"NA","2020-03-17",2020-03-17
17191,"NA","2020-03-17",2020-03-17
17193,"NA","2020-03-17",2020-03-17
17195,"NA","2020-03-16",2020-03-16
17197,"NA","2020-03-17",2020-03-17
17199,"NA","NA",NA
17201,"NA","2020-03-16",2020-03-16
17203,"NA","2020-03-16",2020-03-16
39001,"NA","2020-03-17",2020-03-17
39003,"NA","2020-03-16",2020-03-16
39005,"2020-03-13","2020-03-17",2020-03-13
39007,"NA","2020-03-16",2020-03-16
39009,"NA","2020-03-16",2020-03-16
39011,"NA","2020-03-17",2020-03-17
39013,"2020-03-13","2020-03-17",2020-03-13
39015,"2020-03-13","2020-03-17",2020-03-13
39017,"2020-03-13","2020-03-16",2020-03-13
39019,"NA","2020-03-16",2020-03-16
39021,"NA","2020-03-16",2020-03-16
39023,"2020-03-16","2020-03-17",2020-03-16
39025,"2020-03-13","2020-03-16",2020-03-13
39027,"NA","2020-03-13",2020-03-13
39029,"2020-03-16","2020-03-17",2020-03-16
39031,"NA","2020-03-16",2020-03-16
39033,"2020-03-13","2020-03-16",2020-03-13
39035,"2020-03-13","2020-03-16",2020-03-13
39037,"2020-03-16","2020-03-17",2020-03-16
39039,"NA","2020-03-13",2020-03-13
39041,"NA","2020-03-16",2020-03-16
39043,"NA","2020-03-16",2020-03-16
39045,"NA","2020-03-16",2020-03-16
39047,"NA","2020-03-13",2020-03-13
39049,"NA","2020-03-16",2020-03-16
39051,"NA","2020-03-13",2020-03-13
39053,"NA","2020-03-16",2020-03-16
39055,"NA","2020-03-16",2020-03-16
39057,"NA","2020-03-16",2020-03-16
39059,"NA","2020-03-16",2020-03-16
39061,"NA","2020-03-16",2020-03-16
39063,"NA","2020-03-13",2020-03-13
39065,"NA","2020-03-16",2020-03-16
39067,"NA","2020-03-13",2020-03-13
39069,"NA","2020-03-16",2020-03-16
39071,"2020-03-13","2020-03-16",2020-03-13
39073,"NA","2020-03-16",2020-03-16
39075,"NA","2020-03-17",2020-03-17
39077,"NA","2020-03-17",2020-03-17
39079,"NA","2020-03-16",2020-03-16
39081,"NA","2020-03-16",2020-03-16
39083,"NA","2020-03-16",2020-03-16
39085,"2020-03-16","2020-03-17",2020-03-16
39087,"NA","2020-03-17",2020-03-17
39089,"NA","2020-03-17",2020-03-17
